UNH: Shares = 1.774948 , Avg Cost = 252.7269
BRK.B: Shares = 0.4614797 , Avg Cost = 476.0123
APP: Shares = 0.4634061 , Avg Cost = 461.0643
IBM: Shares = 0.8028817 , Avg Cost = 244.1082
MSTR: Shares = 0.9951860 , Avg Cost = 198.7970
TTWO: Shares = 0.4598325 , Avg Cost = 228.3440
ASST: Shares = 6.6 , Avg Cost = 25.7680
RBLX: Shares = 2.3529412 , Avg Cost = 72.25
V: Shares = 0.2953725 , Avg Cost = 337.98
XYZ: Shares = 1.3177067 , Avg Cost = 75.7680
IONQ: Shares = 1.6576457 , Avg Cost = 60.23
OKLO: Shares = 1.1442873 , Avg Cost = 139.5978
AMZN: Shares = 0.2289320 , Avg Cost = 218.0560
TTD: Shares = 2.6647014 , Avg Cost = 51.5592
FIG: Shares = 2.1352143 , Avg Cost = 75.2805
NEON: Shares = 9.0 , Avg Cost = 6.5845
VOO: Shares = 0.0189550 , Avg Cost = 492.2181
MBIO: Shares = 21.0 , Avg Cost = 3.25
JUNS: Shares = 35.0 , Avg Cost = 2.9616
USBC: Shares = 22.0 , Avg Cost = 4.5733
SLAI: Shares = 10.3721128 , Avg Cost = 4.8101
VRT: Shares = 0.6072439 , Avg Cost = 328.83
GOOGL: Shares = 0.2558412 , Avg Cost = 390.2420
DELL: Shares = 0.2552083 , Avg Cost = 416.8360
PLTR: Shares = 1.0200705 , Avg Cost = 156.5480
ABBV: Shares = 0.4642857 , Avg Cost = 215.04
